feature_name,event_name,aggregation_type,aggregation_field,price_per_unit
azure-openai-modeling-promptTokens,azure-openai-modeling,SUM,promptTokens,0
azure-openai-modeling-completionTokens,azure-openai-modeling,SUM,completionTokens,0
azure-openai-modeling-cachedPromptTokens,azure-openai-modeling,SUM,cachedPromptTokens,0
azure-openai-modeling-cacheCreationInputTokens,azure-openai-modeling,SUM,cacheCreationInputTokens,0
azure-openai-modeling-cacheReadInputTokens,azure-openai-modeling,SUM,cacheReadInputTokens,0
openai-modeling-promptTokens,openai-modeling,SUM,promptTokens,0
openai-modeling-completionTokens,openai-modeling,SUM,completionTokens,0
openai-modeling-cachedPromptTokens,openai-modeling,SUM,cachedPromptTokens,0
openai-modeling-cacheCreationInputTokens,openai-modeling,SUM,cacheCreationInputTokens,0
openai-modeling-cacheReadInputTokens,openai-modeling,SUM,cacheReadInputTokens,0
llm-stream-modeling-completion-promptTokens,llm-stream-modeling-completion,SUM,promptTokens,0
llm-stream-modeling-completion-completionTokens,llm-stream-modeling-completion,SUM,completionTokens,0
llm-stream-modeling-completion-cachedPromptTokens,llm-stream-modeling-completion,SUM,cachedPromptTokens,0
llm-stream-modeling-completion-cacheCreationInputTokens,llm-stream-modeling-completion,SUM,cacheCreationInputTokens,0
llm-stream-modeling-completion-cacheReadInputTokens,llm-stream-modeling-completion,SUM,cacheReadInputTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-promptTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,promptTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-completionTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,completionTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-cachedPromptTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,cachedPromptTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-cacheCreationInputTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,cacheCreationInputTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-cacheReadInputTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,cacheReadInputTokens,0
custom-llm-modeling-promptTokens,custom-llm-modeling,SUM,promptTokens,0
custom-llm-modeling-completionTokens,custom-llm-modeling,SUM,completionTokens,0
custom-llm-modeling-cachedPromptTokens,custom-llm-modeling,SUM,cachedPromptTokens,0
custom-llm-modeling-cacheCreationInputTokens,custom-llm-modeling,SUM,cacheCreationInputTokens,0
custom-llm-modeling-cacheReadInputTokens,custom-llm-modeling,SUM,cacheReadInputTokens,0
anthropic-modeling-promptTokens,anthropic-modeling,SUM,promptTokens,0
anthropic-modeling-completionTokens,anthropic-modeling,SUM,completionTokens,0
anthropic-modeling-cachedPromptTokens,anthropic-modeling,SUM,cachedPromptTokens,0
